i, t, s
11728, 0.265941, 1960.962489
11729, 0.265964, 3344.154892
11730, 0.265986, 4714.146778
11731, 0.266009, 6065.556620
11732, 0.266032, 7393.076135
11733, 0.266054, 8691.491136
11734, 0.266077, 9955.702012
11735, 0.266100, 11180.743759
11736, 0.266122, 12361.805475
11737, 0.266145, 13494.249255
11738, 0.266168, 14573.628407
11739, 0.266190, 15595.704905
11740, 0.266213, 16556.466038
11741, 0.266236, 17452.140155
11742, 0.266259, 18279.211480
11743, 0.266281, 19034.433906
11744, 0.266304, 19714.843736
11745, 0.266327, 20317.771318
11746, 0.266349, 20840.851515
11747, 0.266372, 21282.032984
11748, 0.266395, 21639.586222
11749, 0.266417, 21912.110343
11750, 0.266440, 22098.538570
11751, 0.266463, 22198.142410
11752, 0.266485, 22210.534497
11753, 0.266508, 22135.670103
11754, 0.266531, 21973.847297
11755, 0.266553, 21725.705757
11756, 0.266576, 21392.224240
11757, 0.266599, 20974.716728
11758, 0.266621, 20474.827244
11759, 0.266644, 19894.523381
11760, 0.266667, 19236.088557
11761, 0.266689, 18502.113031
11762, 0.266712, 17695.483712
11763, 0.266735, 16819.372806
11764, 0.266757, 15877.225337
11765, 0.266780, 14872.745604
11766, 0.266803, 13809.882615
11767, 0.266825, 12692.814564
11768, 0.266848, 11525.932403
11769, 0.266871, 10313.822582
11770, 0.266893, 9061.249028
11771, 0.266916, 7773.134414
11772, 0.266939, 6454.540816
11773, 0.266961, 5110.649820
11774, 0.266984, 3746.742161
11775, 0.267007, 2368.176970
11776, 0.267029, 980.370718
11777, 0.267052, -411.224064
11778, 0.267075, -1801.140208
11779, 0.267098, -3183.917391
11780, 0.267120, -4554.123582
11781, 0.267143, -5906.376383
11782, 0.267166, -7235.364172
11783, 0.267188, -8535.866964
11784, 0.267211, -9802.776921
11785, 0.267234, -11031.118403
11786, 0.267256, -12216.067521
11787, 0.267279, -13352.971071
11788, 0.267302, -14437.364812
11789, 0.267324, -15464.990996
11790, 0.267347, -16431.815082
11791, 0.267370, -17334.041580
11792, 0.267392, -18168.128949
11793, 0.267415, -18930.803496
11794, 0.267438, -19619.072232
11795, 0.267460, -20230.234608
11796, 0.267483, -20761.893122
11797, 0.267506, -21211.962713
11798, 0.267528, -21578.678946
11799, 0.267551, -21860.604927
11800, 0.267574, -22056.636931
11801, 0.267596, -22166.008725
11802, 0.267619, -22188.294564
11803, 0.267642, -22123.410845
11804, 0.267664, -21971.616422
11805, 0.267687, -21733.511574
11806, 0.267710, -21410.035629
11807, 0.267732, -21002.463262
11808, 0.267755, -20512.399467
11809, 0.267778, -19941.773242
11810, 0.267800, -19292.829992
11811, 0.267823, -18568.122697
11812, 0.267846, -17770.501864
11813, 0.267868, -16903.104320
11814, 0.267891, -15969.340872
11815, 0.267914, -14972.882896
11816, 0.267937, -13917.647903
11817, 0.267959, -12807.784137
11818, 0.267982, -11647.654266
11819, 0.268005, -10441.818236
11820, 0.268027, -9195.015346
11821, 0.268050, -7912.145623
11822, 0.268073, -6598.250560
11823, 0.268095, -5258.493311
11824, 0.268118, -3898.138396
11825, 0.268141, -2522.531015
11826, 0.268163, -1137.076047
11827, 0.268186, 252.783187
11828, 0.268209, 1641.586311
11829, 0.268231, 3023.877345
11830, 0.268254, 4394.226139
11831, 0.268277, 5747.249708
11832, 0.268299, 7077.633371
11833, 0.268322, 8380.151633
11834, 0.268345, 9649.688708
11835, 0.268367, 10881.258610
11836, 0.268390, 12070.024737
11837, 0.268413, 13211.318865
11838, 0.268435, 14300.659477
11839, 0.268458, 15333.769365
11840, 0.268481, 16306.592423
11841, 0.268503, 17215.309567
11842, 0.268526, 18056.353736
11843, 0.268549, 18826.423887
11844, 0.268571, 19522.497954
11845, 0.268594, 20141.844709
11846, 0.268617, 20682.034476
11847, 0.268639, 21140.948665
11848, 0.268662, 21516.788080
11849, 0.268685, 21808.079972
11850, 0.268707, 22013.683811
11851, 0.268730, 22132.795751
11852, 0.268753, 22164.951774
11853, 0.268776, 22110.029495
11854, 0.268798, 21968.248631
11855, 0.268821, 21740.170118
11856, 0.268844, 21426.693895
11857, 0.268866, 21029.055352
11858, 0.268889, 20548.820463
11859, 0.268912, 19987.879614
11860, 0.268934, 19348.440169
11861, 0.268957, 18633.017778
11862, 0.268980, 17844.426482
11863, 0.269002, 16985.767647
11864, 0.269025, 16060.417762
11865, 0.269048, 15072.015165
11866, 0.269070, 14024.445736
11867, 0.269093, 12921.827622
11868, 0.269116, 11768.495045
11869, 0.269138, 10568.981269
11870, 0.269161, 9328.000775
11871, 0.269184, 8050.430738
11872, 0.269206, 6741.291859
11873, 0.269229, 5405.728627
11874, 0.269252, 4048.989113
11875, 0.269274, 2676.404340
11876, 0.269297, 1293.367338
11877, 0.269320, -94.688042
11878, 0.269342, -1482.308484
11879, 0.269365, -2864.042626
11880, 0.269388, -4234.462477
11881, 0.269410, -5588.184743
11882, 0.269433, -6919.891973
11883, 0.269456, -8224.353442
11884, 0.269478, -9496.445701
11885, 0.269501, -10731.172700
11886, 0.269524, -11923.685405
11887, 0.269546, -13069.300847
11888, 0.269569, -14163.520507
11889, 0.269592, -15202.047984
11890, 0.269615, -16180.805862
11891, 0.269637, -17095.951722
11892, 0.269660, -17943.893221
11893, 0.269683, -18721.302200
11894, 0.269705, -19425.127742
11895, 0.269728, -20052.608146
11896, 0.269751, -20601.281767
11897, 0.269773, -21068.996670
11898, 0.269796, -21453.919068
11899, 0.269819, -21754.540517
11900, 0.269841, -21969.683825
11901, 0.269864, -22098.507658
11902, 0.269887, -22140.509838
11903, 0.269909, -22095.529292
11904, 0.269932, -21963.746674
11905, 0.269955, -21745.683641
11906, 0.269977, -21442.200783
11907, 0.270000, -21054.494232
11908, 0.270023, -20584.090945
11909, 0.270045, -20032.842690
11910, 0.270068, -19402.918758
11911, 0.270091, -18696.797425
11912, 0.270113, -17917.256202
11913, 0.270136, -17067.360912
11914, 0.270159, -16150.453628
11915, 0.270181, -15170.139535
11916, 0.270204, -14130.272755
11917, 0.270227, -13034.941190
11918, 0.270249, -11888.450456
11919, 0.270272, -10695.306956
11920, 0.270295, -9460.200170
11921, 0.270317, -8187.984219
11922, 0.270340, -6883.658791
11923, 0.270363, -5552.349494
11924, 0.270385, -4199.287708
11925, 0.270408, -2829.790036
11926, 0.270431, -1449.237407
11927, 0.270454, -63.053938
11928, 0.270476, 1323.314379
11929, 0.270499, 2704.421075
11930, 0.270522, 4074.840594
11931, 0.270544, 5429.189618
11932, 0.270567, 6762.148201
11933, 0.270590, 8068.480676
11934, 0.270612, 9343.056216
11935, 0.270635, 10580.868985
11936, 0.270658, 11777.057802
11937, 0.270680, 12926.925227
11938, 0.270703, 14025.956012
11939, 0.270726, 15069.834830
11940, 0.270748, 16054.463216
11941, 0.270771, 16975.975665
11942, 0.270794, 17830.754801
11943, 0.270816, 18615.445580
11944, 0.270839, 19326.968457
11945, 0.270862, 19962.531476
11946, 0.270884, 20519.641218
11947, 0.270907, 20996.112591
11948, 0.270930, 21390.077393
11949, 0.270952, 21699.991644
11950, 0.270975, 21924.641631
11951, 0.270998, 22063.148665
11952, 0.271020, 22114.972517
11953, 0.271043, 22079.913523
11954, 0.271066, 21958.113355
11955, 0.271088, 21750.054450
11956, 0.271111, 21456.558096
11957, 0.271134, 21078.781192
11958, 0.271156, 20618.211688
11959, 0.271179, 20076.662724
11960, 0.271202, 19456.265492
11961, 0.271224, 18759.460850
11962, 0.271247, 17988.989718
11963, 0.271270, 17147.882295
11964, 0.271293, 16239.446146
11965, 0.271315, 15267.253190
11966, 0.271338, 14235.125658
11967, 0.271361, 13147.121067
11968, 0.271383, 12007.516267
11969, 0.271406, 10820.790630
11970, 0.271429, 9591.608442
11971, 0.271451, 8324.800572
11972, 0.271474, 7025.345486
11973, 0.271497, 5698.349681
11974, 0.271519, 4349.027619
11975, 0.271542, 2982.681234
11976, 0.271565, 1604.679105
11977, 0.271587, 220.435355
11978, 0.271610, -1164.611618
11979, 0.271633, -2545.020506
11980, 0.271655, -3915.368468
11981, 0.271678, -5270.272436
11982, 0.271701, -6604.410258
11983, 0.271723, -7912.541605
11984, 0.271746, -9189.528555
11985, 0.271769, -10430.355772
11986, 0.271791, -11630.150202
11987, 0.271814, -12784.200216
11988, 0.271837, -13887.974107
11989, 0.271859, -14937.137889
11990, 0.271882, -15927.572311
11991, 0.271905, -16855.389033
11992, 0.271927, -17716.945891
11993, 0.271950, -18508.861193
11994, 0.271973, -19228.026991
11995, 0.271995, -19871.621283
11996, 0.272018, -20437.119083
11997, 0.272041, -20922.302327
11998, 0.272063, -21325.268576
11999, 0.272086, -21644.438472
12000, 0.272109, -21878.561930
12001, 0.272132, -22026.723034
12002, 0.272154, -22088.343618
12003, 0.272177, -22063.185526
12004, 0.272200, -21951.351529
12005, 0.272222, -21753.284906
12006, 0.272245, -21469.767690
12007, 0.272268, -21101.917577
12008, 0.272290, -20651.183521
12009, 0.272313, -20119.340025
12010, 0.272336, -19508.480161
12011, 0.272358, -18821.007325
12012, 0.272381, -18059.625784
12013, 0.272404, -17227.330041
12014, 0.272426, -16327.393055
12015, 0.272449, -15363.353370
12016, 0.272472, -14339.001202
12017, 0.272494, -13258.363539
12018, 0.272517, -12125.688307
12019, 0.272540, -10945.427675
12020, 0.272562, -9722.220552
12021, 0.272585, -8460.874356
12022, 0.272608, -7166.346119
12023, 0.272630, -5843.723007
12024, 0.272653, -4498.202328
12025, 0.272676, -3135.071110
12026, 0.272698, -1759.685325
12027, 0.272721, -377.448845
12028, 0.272744, 1006.207789
12029, 0.272766, 2385.848703
12030, 0.272789, 3756.054046
12031, 0.272812, 5111.441281
12032, 0.272834, 6446.686330
12033, 0.272857, 7756.544485
12034, 0.272880, 9035.871012
12035, 0.272902, 10279.641356
12036, 0.272925, 11482.970874
12037, 0.272948, 12641.134022
12038, 0.272971, 13749.582908
12039, 0.272993, 14803.965153
12040, 0.273016, 15800.140982
12041, 0.273039, 16734.199476
12042, 0.273061, 17602.473926
12043, 0.273084, 18401.556227
12044, 0.273107, 19128.310256
12045, 0.273129, 19779.884180
12046, 0.273152, 20353.721647
12047, 0.273175, 20847.571814
12048, 0.273197, 21259.498177
12049, 0.273220, 21587.886166
12050, 0.273243, 21831.449469
12051, 0.273265, 21989.235074
12052, 0.273288, 22060.626998
12053, 0.273311, 22045.348690
12054, 0.273333, 21943.464102
12055, 0.273356, 21755.377424
12056, 0.273379, 21481.831480
12057, 0.273401, 21123.904792
12058, 0.273424, 20683.007333
12059, 0.273447, 20160.874966
12060, 0.273469, 19559.562616
12061, 0.273492, 18881.436179
12062, 0.273515, 18129.163215
12063, 0.273537, 17305.702452
12064, 0.273560, 16414.292153
12065, 0.273583, 15458.437377
12066, 0.273605, 14441.896202
12067, 0.273628, 13368.664946
12068, 0.273651, 12242.962458
12069, 0.273673, 11069.213531
12070, 0.273696, 9852.031516
12071, 0.273719, 8596.200181
12072, 0.273741, 7306.654916
12073, 0.273764, 5988.463336
12074, 0.273787, 4646.805364
12075, 0.273810, 3286.952877
12076, 0.273832, 1914.248995
12077, 0.273855, 534.087081
12078, 0.273878, -848.110448
12079, 0.273900, -2226.913421
12080, 0.273923, -3596.905252
12081, 0.273946, -4952.704214
12082, 0.273968, -6288.984583
12083, 0.273991, -7600.497555
12084, 0.274014, -8882.091868
12085, 0.274036, -10128.734028
12086, 0.274059, -11335.528085
12087, 0.274082, -12497.734854
12088, 0.274104, -13610.790535
12089, 0.274127, -14670.324623
12090, 0.274150, -15672.177079
12091, 0.274172, -16612.414659
12092, 0.274195, -17487.346356
12093, 0.274218, -18293.537891
12094, 0.274240, -19027.825191
12095, 0.274263, -19687.326808
12096, 0.274286, -20269.455227
12097, 0.274308, -20771.927018
12098, 0.274331, -21192.771792
12099, 0.274354, -21530.339926
12100, 0.274376, -21783.309033
12101, 0.274399, -21950.689140
12102, 0.274422, -22031.826562
12103, 0.274444, -22026.406454
12104, 0.274467, -21934.454035
12105, 0.274490, -21756.334473
12106, 0.274512, -21492.751433
12107, 0.274535, -21144.744297
12108, 0.274558, -20713.684070
12109, 0.274580, -20201.267974
12110, 0.274603, -19609.512766
12111, 0.274626, -18940.746805
12112, 0.274649, -18197.600885
12113, 0.274671, -17382.997890
12114, 0.274694, -16500.141295
12115, 0.274717, -15552.502570
12116, 0.274739, -14543.807531
12117, 0.274762, -13478.021687
12118, 0.274785, -12359.334657
12119, 0.274807, -11192.143693
12120, 0.274830, -9981.036400
12121, 0.274853, -8730.772707
12122, 0.274875, -7446.266152
12123, 0.274898, -6132.564579
12124, 0.274921, -4794.830296
12125, 0.274943, -3438.319793
12126, 0.274966, -2068.363086
12127, 0.274989, -690.342772
12128, 0.275011, 690.327118
12129, 0.275034, 2068.222386
12130, 0.275057, 3437.929983
12131, 0.275079, 4794.069272
12132, 0.275102, 6131.313163
12133, 0.275125, 7444.409038
12134, 0.275147, 8728.199389
12135, 0.275170, 9977.642067
12136, 0.275193, 11187.830092
12137, 0.275215, 12354.010920
12138, 0.275238, 13471.605110
12139, 0.275261, 14536.224303
12140, 0.275283, 15543.688457
12141, 0.275306, 16490.042259
12142, 0.275329, 17371.570651
12143, 0.275351, 18184.813416
12144, 0.275374, 18926.578759
12145, 0.275397, 19593.955835
12146, 0.275420, 20184.326172
12147, 0.275442, 20695.373944
12148, 0.275465, 21125.095054
12149, 0.275488, 21471.804995
12150, 0.275510, 21734.145455
12151, 0.275533, 21911.089632
12152, 0.275556, 22001.946260
12153, 0.275578, 22006.362306
12154, 0.275601, 21924.324339
12155, 0.275624, 21756.158575
12156, 0.275646, 21502.529572
12157, 0.275669, 21164.437608
12158, 0.275692, 20743.214737
12159, 0.275714, 20240.519536
12160, 0.275737, 19658.330580
12161, 0.275760, 18998.938652
12162, 0.275782, 18264.937729
12163, 0.275805, 17459.214777
12164, 0.275828, 16584.938398
12165, 0.275850, 15645.546368
12166, 0.275873, 14644.732119
12167, 0.275896, 13586.430219
12168, 0.275918, 12474.800899
12169, 0.275941, 11314.213708
12170, 0.275964, 10109.230327
12171, 0.275986, 8864.586646
12172, 0.276009, 7585.174150
12173, 0.276032, 6276.020693
12174, 0.276054, 4942.270741
12175, 0.276077, 3589.165157
12176, 0.276100, 2222.020605
12177, 0.276122, 846.208662
12178, 0.276145, -532.865288
12179, 0.276168, -1909.783291
12180, 0.276190, -3279.136108
12181, 0.276213, -4635.544468
12182, 0.276236, -5973.680196
12183, 0.276259, -7288.287142
12184, 0.276281, -8574.201832
12185, 0.276304, -9826.373746
12186, 0.276327, -11039.885152
12187, 0.276349, -12209.970425
12188, 0.276372, -13332.034757
12189, 0.276395, -14401.672204
12190, 0.276417, -15414.682984
12191, 0.276440, -16367.089968
12192, 0.276463, -17255.154296
12193, 0.276485, -18075.390052
12194, 0.276508, -18824.577947
12195, 0.276531, -19499.777958
12196, 0.276553, -20098.340860
12197, 0.276576, -20617.918626
12198, 0.276599, -21056.473632
12199, 0.276621, -21412.286655
12200, 0.276644, -21683.963606
12201, 0.276667, -21870.440995
12202, 0.276689, -21970.990093
12203, 0.276712, -21985.219783
12204, 0.276735, -21913.078077
12205, 0.276757, -21754.852305
12206, 0.276780, -21511.167976
12207, 0.276803, -21182.986298
12208, 0.276825, -20771.600393
12209, 0.276848, -20278.630197
12210, 0.276871, -19706.016085
12211, 0.276893, -19056.011230
12212, 0.276916, -18331.172739
12213, 0.276939, -17534.351594
12214, 0.276961, -16668.681438
12215, 0.276984, -15737.566249
12216, 0.277007, -14744.666957
12217, 0.277029, -13693.887053
12218, 0.277052, -12589.357236
12219, 0.277075, -11435.419181
12220, 0.277098, -10236.608469
12221, 0.277120, -8997.636762
12222, 0.277143, -7723.373284
12223, 0.277166, -6418.825684
12224, 0.277188, -5089.120360
12225, 0.277211, -3739.482309
12226, 0.277234, -2375.214600
12227, 0.277256, -1001.677534
12228, 0.277279, 375.732414
12229, 0.277302, 1751.603801
12230, 0.277324, 3120.531470
12231, 0.277347, 4477.137793
12232, 0.277370, 5816.093788
12233, 0.277392, 7132.140055
12234, 0.277415, 8420.107438
12235, 0.277438, 9674.937325
12236, 0.277460, 10891.701513
12237, 0.277483, 12065.621573
12238, 0.277506, 13192.087604
12239, 0.277528, 14266.676344
12240, 0.277551, 15285.168535
12241, 0.277574, 16243.565490
12242, 0.277596, 17138.104793
12243, 0.277619, 17965.275069
12244, 0.277642, 18721.829766
12245, 0.277664, 19404.799898
12246, 0.277687, 20011.505699
12247, 0.277710, 20539.567134
12248, 0.277732, 20986.913235
12249, 0.277755, 21351.790227
12250, 0.277778, 21632.768401
12251, 0.277800, 21828.747716
12252, 0.277823, 21938.962106
12253, 0.277846, 21962.982473
12254, 0.277868, 21900.718360
12255, 0.277891, 21752.418291
12256, 0.277914, 21518.668777
12257, 0.277937, 21200.391996
12258, 0.277959, 20798.842158
12259, 0.277982, 20315.600562
12260, 0.278005, 19752.569368
12261, 0.278027, 19111.964107
12262, 0.278050, 18396.304969
12263, 0.278073, 17608.406884
12264, 0.278095, 16751.368449
12265, 0.278118, 15828.559748
12266, 0.278141, 14843.609093
12267, 0.278163, 13800.388762
12268, 0.278186, 12702.999774
12269, 0.278209, 11555.755770
12270, 0.278231, 10363.166054
12271, 0.278254, 9129.917868
12272, 0.278277, 7860.857975
12273, 0.278299, 6560.973605
12274, 0.278322, 5235.372858
12275, 0.278345, 3889.264634
12276, 0.278367, 2527.938158
12277, 0.278390, 1156.742206
12278, 0.278413, -218.935919
12279, 0.278435, -1593.691549
12280, 0.278458, -2962.123884
12281, 0.278481, -4318.857212
12282, 0.278503, -5658.562024
12283, 0.278526, -6975.975952
12284, 0.278549, -8265.924437
12285, 0.278571, -9523.341055
12286, 0.278594, -10743.287418
12287, 0.278617, -11920.972564
12288, 0.278639, -13051.771776
12289, 0.278662, -14131.244743
12290, 0.278685, -15155.152994
12291, 0.278707, -16119.476540
12292, 0.278730, -17020.429659
12293, 0.278753, -17854.475757
12294, 0.278776, -18618.341247
12295, 0.278798, -19309.028406
12296, 0.278821, -19923.827129
12297, 0.278844, -20460.325570
12298, 0.278866, -20916.419603
12299, 0.278889, -21290.321070
12300, 0.278912, -21580.564797
12301, 0.278934, -21786.014330
12302, 0.278957, -21905.866390
12303, 0.278980, -21939.654010
12304, 0.279002, -21887.248355
12305, 0.279025, -21748.859215
12306, 0.279048, -21525.034161
12307, 0.279070, -21216.656384
12308, 0.279093, -20824.941206
12309, 0.279116, -20351.431291
12310, 0.279138, -19797.990572
12311, 0.279161, -19166.796911
12312, 0.279184, -18460.333531
12313, 0.279206, -17681.379245
12314, 0.279229, -16832.997527
12315, 0.279252, -15918.524462
12316, 0.279274, -14941.555631
12317, 0.279297, -13905.931972
12318, 0.279320, -12815.724676
12319, 0.279342, -11675.219190
12320, 0.279365, -10488.898363
12321, 0.279388, -9261.424833
12322, 0.279410, -7997.622697
12323, 0.279433, -6702.458555
12324, 0.279456, -5381.021987
12325, 0.279478, -4038.505557
12326, 0.279501, -2680.184409
12327, 0.279524, -1311.395535
12328, 0.279546, 62.483189
12329, 0.279569, 1436.054137
12330, 0.279592, 2803.921136
12331, 0.279615, 4160.710665
12332, 0.279637, 5501.092968
12333, 0.279660, 6819.802986
12334, 0.279683, 8111.661041
12335, 0.279705, 9371.593179
12336, 0.279728, 10594.651102
12337, 0.279751, 11776.031596
12338, 0.279773, 12911.095402
12339, 0.279796, 13995.385428
12340, 0.279819, 15024.644254
12341, 0.279841, 15994.830847
12342, 0.279864, 16902.136428
12343, 0.279887, 17742.999424
12344, 0.279909, 18514.119448
12345, 0.279932, 19212.470254
12346, 0.279955, 19835.311615
12347, 0.279977, 20380.200069
12348, 0.280000, 20844.998514
12349, 0.280023, 21227.884583
12350, 0.280045, 21527.357790
12351, 0.280068, 21742.245414
12352, 0.280091, 21871.707085
12353, 0.280113, 21915.238079
12354, 0.280136, 21872.671276
12355, 0.280159, 21744.177809
12356, 0.280181, 21530.266371
12357, 0.280204, 21231.781205
12358, 0.280227, 20849.898769
12359, 0.280249, 20386.123104
12360, 0.280272, 19842.279903
12361, 0.280295, 19220.509331
12362, 0.280317, 18523.257598
12363, 0.280340, 17753.267339
12364, 0.280363, 16913.566823
12365, 0.280385, 16007.458044
12366, 0.280408, 15038.503737
12367, 0.280431, 14010.513369
12368, 0.280454, 12927.528162
12369, 0.280476, 11793.805207
12370, 0.280499, 10613.800730
12371, 0.280522, 9392.152574
12372, 0.280544, 8133.661973
12373, 0.280567, 6843.274682
12374, 0.280590, 5526.061542
12375, 0.280612, 4187.198549
12376, 0.280635, 2831.946518
12377, 0.280658, 1465.630414
12378, 0.280680, 93.618422
12379, 0.280703, -1278.699136
12380, 0.280726, -2645.930984
12381, 0.280748, -4002.706069
12382, 0.280771, -5343.694662
12383, 0.280794, -6663.629296
12384, 0.280816, -7957.325451
12385, 0.280839, -9219.701927
12386, 0.280862, -10445.800794
12387, 0.280884, -11630.806865
12388, 0.280907, -12770.066611
12389, 0.280930, -13859.106429
12390, 0.280952, -14893.650216
12391, 0.280975, -15869.636150
12392, 0.280998, -16783.232648
12393, 0.281020, -17630.853398
12394, 0.281043, -18409.171445
12395, 0.281066, -19115.132245
12396, 0.281088, -19745.965654
12397, 0.281111, -20299.196798
12398, 0.281134, -20772.655782
12399, 0.281156, -21164.486201
12400, 0.281179, -21473.152419
12401, 0.281202, -21697.445587
12402, 0.281224, -21836.488376
12403, 0.281247, -21889.738412
12404, 0.281270, -21856.990388
12405, 0.281293, -21738.376859
12406, 0.281315, -21534.367700
12407, 0.281338, -21245.768251
12408, 0.281361, -20873.716136
12409, 0.281383, -20419.676776
12410, 0.281406, -19885.437621
12411, 0.281429, -19273.101110
12412, 0.281451, -18585.076400
12413, 0.281474, -17824.069885
12414, 0.281497, -16993.074552
12415, 0.281519, -16095.358209
12416, 0.281542, -15134.450633
12417, 0.281565, -14114.129697
12418, 0.281587, -13038.406508
12419, 0.281610, -11911.509648
12420, 0.281633, -10737.868543
12421, 0.281655, -9522.096061
12422, 0.281678, -8268.970374
12423, 0.281701, -6983.416183
12424, 0.281723, -5670.485367
12425, 0.281746, -4335.337122
12426, 0.281769, -2983.217697
12427, 0.281791, -1619.439774
12428, 0.281814, -249.361596
12429, 0.281837, 1121.634085
12430, 0.281859, 2488.161160
12431, 0.281882, 3844.851315
12432, 0.281905, 5186.375128
12433, 0.281927, 6507.462999
12434, 0.281950, 7802.925853
12435, 0.281973, 9067.675518
12436, 0.281995, 10296.744714
12437, 0.282018, 11485.306560
12438, 0.282041, 12628.693529
12439, 0.282063, 13722.415780
12440, 0.282086, 14762.178786
12441, 0.282109, 15743.900200
12442, 0.282132, 16663.725881
12443, 0.282154, 17518.045025
12444, 0.282177, 18303.504338
12445, 0.282200, 19017.021203
12446, 0.282222, 19655.795771
12447, 0.282245, 20217.321954
12448, 0.282268, 20699.397253
12449, 0.282290, 21100.131399
12450, 0.282313, 21417.953762
12451, 0.282336, 21651.619513
12452, 0.282358, 21800.214491
12453, 0.282381, 21863.158788
12454, 0.282404, 21840.209007
12455, 0.282426, 21731.459201
12456, 0.282449, 21537.340496
12457, 0.282472, 21258.619374
12458, 0.282494, 20896.394650
12459, 0.282517, 20452.093142
12460, 0.282540, 19927.464046
12461, 0.282562, 19324.572055
12462, 0.282585, 18645.789228
12463, 0.282608, 17893.785662
12464, 0.282630, 17071.518985
12465, 0.282653, 16182.222727
12466, 0.282676, 15229.393600
12467, 0.282698, 14216.777755
12468, 0.282721, 13148.356046
12469, 0.282744, 12028.328389
12470, 0.282766, 10861.097245
12471, 0.282789, 9651.250317
12472, 0.282812, 8403.542523
12473, 0.282834, 7122.877302
12474, 0.282857, 5814.287349
12475, 0.282880, 4482.914832
12476, 0.282902, 3133.991193
12477, 0.282925, 1772.816586
12478, 0.282948, 404.739051
12479, 0.282971, -964.866491
12480, 0.282993, -2330.619363
12481, 0.283016, -3687.154268
12482, 0.283039, -5029.142362
12483, 0.283061, -6351.312196
12484, 0.283084, -7648.470415
12485, 0.283107, -8915.522159
12486, 0.283129, -10147.491077
12487, 0.283152, -11339.538869
12488, 0.283175, -12486.984285
12489, 0.283197, -13585.321516
12490, 0.283220, -14630.237879
12491, 0.283243, -15617.630758
12492, 0.283265, -16543.623706
12493, 0.283288, -17404.581668
12494, 0.283311, -18197.125249
12495, 0.283333, -18918.143979
12496, 0.283356, -19564.808519
12497, 0.283379, -20134.581768
12498, 0.283401, -20625.228810
12499, 0.283424, -21034.825687
12500, 0.283447, -21361.766938
12501, 0.283469, -21604.771898
12502, 0.283492, -21762.889707
12503, 0.283515, -21835.503037
12504, 0.283537, -21822.330496
12505, 0.283560, -21723.427726
12506, 0.283583, -21539.187162
12507, 0.283605, -21270.336478
12508, 0.283628, -20917.935713
12509, 0.283651, -20483.373093
12510, 0.283673, -19968.359557
12511, 0.283696, -19374.922029
12512, 0.283719, -18705.395432
12513, 0.283741, -17962.413508
12514, 0.283764, -17148.898454
12515, 0.283787, -16268.049430
12516, 0.283810, -15323.329977
12517, 0.283832, -14318.454401
12518, 0.283855, -13257.373166
12519, 0.283878, -12144.257367
12520, 0.283900, -10983.482330
12521, 0.283923, -9779.610417
12522, 0.283946, -8537.373094
12523, 0.283968, -7261.652331
12524, 0.283991, -5957.461423
12525, 0.284014, -4629.925281
12526, 0.284036, -3284.260299
12527, 0.284059, -1925.753856
12528, 0.284082, -559.743539
12529, 0.284104, 808.403827
12530, 0.284127, 2173.313266
12531, 0.284150, 3529.622766
12532, 0.284172, 4872.004341
12533, 0.284195, 6195.184968
12534, 0.284218, 7493.967292
12535, 0.284240, 8763.250047
12536, 0.284263, 9998.048088
12537, 0.284286, 11193.511972
12538, 0.284308, 12344.947006
12539, 0.284331, 13447.831678
12540, 0.284354, 14497.835417
12541, 0.284376, 15490.835594
12542, 0.284399, 16422.933712
12543, 0.284422, 17290.470707
12544, 0.284444, 18090.041318
12545, 0.284467, 18818.507446
12546, 0.284490, 19473.010478
12547, 0.284512, 20050.982499
12548, 0.284535, 20550.156368
12549, 0.284558, 20968.574613
12550, 0.284580, 21304.597106
12551, 0.284603, 21556.907492
12552, 0.284626, 21724.518344
12553, 0.284649, 21806.775031
12554, 0.284671, 21803.358271
12555, 0.284694, 21714.285373
12556, 0.284717, 21539.910152
12557, 0.284739, 21280.921523
12558, 0.284762, 20938.340782
12559, 0.284785, 20513.517577
12560, 0.284807, 20008.124590
12561, 0.284830, 19424.150953
12562, 0.284853, 18763.894419
12563, 0.284875, 18029.952320
12564, 0.284898, 17225.211349
12565, 0.284921, 16352.836208
12566, 0.284943, 15416.257162
12567, 0.284966, 14419.156552
12568, 0.284989, 13365.454314
12569, 0.285011, 12259.292570
12570, 0.285034, 11105.019349
12571, 0.285057, 9907.171489
12572, 0.285079, 8670.456810
12573, 0.285102, 7399.735612
12574, 0.285125, 6100.001569
12575, 0.285147, 4776.362110
12576, 0.285170, 3434.018346
12577, 0.285193, 2078.244633
12578, 0.285215, 714.367849
12579, 0.285238, -652.253536
12580, 0.285261, -2016.250511
12581, 0.285283, -3372.264623
12582, 0.285306, -4714.969018
12583, 0.285329, -6039.089376
12584, 0.285351, -7339.424623
12585, 0.285374, -8610.867364
12586, 0.285397, -9848.423941
12587, 0.285420, -11047.234048
12588, 0.285442, -12202.589817
12589, 0.285465, -13309.954309
12590, 0.285488, -14364.979326
12591, 0.285510, -15363.522491
12592, 0.285533, -16301.663504
12593, 0.285556, -17175.719541
12594, 0.285578, -17982.259707
12595, 0.285601, -18718.118505
12596, 0.285624, -19380.408256
12597, 0.285646, -19966.530439
12598, 0.285669, -20474.185877
12599, 0.285692, -20901.383763
12600, 0.285714, -21246.449463
12601, 0.285737, -21508.031084
12602, 0.285760, -21685.104766
12603, 0.285782, -21776.978693
