i, t, s
217, 0.004921, 6724.280796
218, 0.004943, 6991.838809
219, 0.004966, 7233.962401
220, 0.004989, 7449.445709
221, 0.005011, 7637.180568
222, 0.005034, 7796.161883
223, 0.005057, 7925.492637
224, 0.005079, 8024.388483
225, 0.005102, 8092.181910
226, 0.005125, 8128.325964
227, 0.005147, 8132.397497
228, 0.005170, 8104.099935
229, 0.005193, 8043.265547
230, 0.005215, 7949.857194
231, 0.005238, 7823.969568
232, 0.005261, 7665.829882
233, 0.005283, 7475.798030
234, 0.005306, 7254.366200
235, 0.005329, 7002.157936
236, 0.005351, 6719.926661
237, 0.005374, 6408.553644
238, 0.005397, 6069.045433
239, 0.005420, 5702.530749
240, 0.005442, 5310.256860
241, 0.005465, 4893.585432
242, 0.005488, 4453.987889
243, 0.005510, 3993.040273
244, 0.005533, 3512.417654
245, 0.005556, 3013.888073
246, 0.005578, 2499.306071
247, 0.005601, 1970.605812
248, 0.005624, 1429.793818
249, 0.005646, 878.941374
250, 0.005669, 320.176587
251, 0.005692, -244.323826
252, 0.005714, -812.343024
253, 0.005737, -1381.632748
254, 0.005760, -1949.922217
255, 0.005782, -2514.927192
256, 0.005805, -3074.359149
257, 0.005828, -3625.934544
258, 0.005850, -4167.384122
259, 0.005873, -4696.462237
260, 0.005896, -5210.956138
261, 0.005918, -5708.695194
262, 0.005941, -6187.560008
263, 0.005964, -6645.491390
264, 0.005986, -7080.499145
265, 0.006009, -7490.670646
266, 0.006032, -7874.179149
267, 0.006054, -8229.291814
268, 0.006077, -8554.377406
269, 0.006100, -8847.913630
270, 0.006122, -9108.494075
271, 0.006145, -9334.834736
272, 0.006168, -9525.780079
273, 0.006190, -9680.308634
274, 0.006213, -9797.538064
275, 0.006236, -9876.729724
276, 0.006259, -9917.292648
277, 0.006281, -9918.786972
278, 0.006304, -9880.926766
279, 0.006327, -9803.582258
280, 0.006349, -9686.781432
281, 0.006372, -9530.711010
282, 0.006395, -9335.716780
283, 0.006417, -9102.303292
284, 0.006440, -8831.132900
285, 0.006463, -8523.024162
286, 0.006485, -8178.949590
287, 0.006508, -7800.032767
288, 0.006531, -7387.544823
289, 0.006553, -6942.900300
290, 0.006576, -6467.652401
291, 0.006599, -5963.487645
292, 0.006621, -5432.219955
293, 0.006644, -4875.784180
294, 0.006667, -4296.229093
295, 0.006689, -3695.709882
296, 0.006712, -3076.480156
297, 0.006735, -2440.883507
298, 0.006757, -1791.344651
299, 0.006780, -1130.360186
300, 0.006803, -460.488995
301, 0.006825, 215.657654
302, 0.006848, 895.426292
303, 0.006871, 1576.131663
304, 0.006893, 2255.067331
305, 0.006916, 2929.516444
306, 0.006939, 3596.762601
307, 0.006961, 4254.100789
308, 0.006984, 4898.848339
309, 0.007007, 5528.355861
310, 0.007029, 6140.018112
311, 0.007052, 6731.284750
312, 0.007075, 7299.670935
313, 0.007098, 7842.767729
314, 0.007120, 8358.252250
315, 0.007143, 8843.897545
316, 0.007166, 9297.582132
317, 0.007188, 9717.299174
318, 0.007211, 10101.165246
319, 0.007234, 10447.428657
320, 0.007256, 10754.477290
321, 0.007279, 11020.845926
322, 0.007302, 11245.223013
323, 0.007324, 11426.456869
324, 0.007347, 11563.561262
325, 0.007370, 11655.720363
326, 0.007392, 11702.293045
327, 0.007415, 11702.816490
328, 0.007438, 11657.009117
329, 0.007460, 11564.772777
330, 0.007483, 11426.194236
331, 0.007506, 11241.545915
332, 0.007528, 11011.285890
333, 0.007551, 10736.057139
334, 0.007574, 10416.686046
335, 0.007596, 10054.180154
336, 0.007619, 9649.725177
337, 0.007642, 9204.681277
338, 0.007664, 8720.578621
339, 0.007687, 8199.112221
340, 0.007710, 7642.136094
341, 0.007732, 7051.656733
342, 0.007755, 6429.825945
343, 0.007778, 5778.933048
344, 0.007800, 5101.396487
345, 0.007823, 4399.754871
346, 0.007846, 3676.657483
347, 0.007868, 2934.854295
348, 0.007891, 2177.185515
349, 0.007914, 1406.570721
350, 0.007937, 625.997614
351, 0.007959, -161.489568
352, 0.007982, -952.801918
353, 0.008005, -1744.817985
354, 0.008027, -2534.396082
355, 0.008050, -3318.386752
356, 0.008073, -4093.645329
357, 0.008095, -4857.044547
358, 0.008118, -5605.487146
359, 0.008141, -6335.918433
360, 0.008163, -7045.338725
361, 0.008186, -7730.815654
362, 0.008209, -8389.496256
363, 0.008231, -9018.618806
364, 0.008254, -9615.524359
365, 0.008277, -10177.667930
366, 0.008299, -10702.629277
367, 0.008322, -11188.123247
368, 0.008345, -11632.009624
369, 0.008367, -12032.302460
370, 0.008390, -12387.178822
371, 0.008413, -12694.986942
372, 0.008435, -12954.253718
373, 0.008458, -13163.691537
374, 0.008481, -13322.204392
375, 0.008503, -13428.893264
376, 0.008526, -13483.060733
377, 0.008549, -13484.214818
378, 0.008571, -13432.072004
379, 0.008594, -13326.559451
380, 0.008617, -13167.816372
381, 0.008639, -12956.194566
382, 0.008662, -12692.258107
383, 0.008685, -12376.782174
384, 0.008707, -12010.751036
385, 0.008730, -11595.355182
386, 0.008753, -11131.987625
387, 0.008776, -10622.239355
388, 0.008798, -10067.894001
389, 0.008821, -9470.921674
390, 0.008844, -8833.472047
391, 0.008866, -8157.866675
392, 0.008889, -7446.590592
393, 0.008912, -6702.283213
394, 0.008934, -5927.728570
395, 0.008957, -5125.844921
396, 0.008980, -4299.673782
397, 0.009002, -3452.368394
398, 0.009025, -2587.181704
399, 0.009048, -1707.453880
400, 0.009070, -816.599415
401, 0.009093, 81.906122
402, 0.009116, 984.539645
403, 0.009138, 1887.744372
404, 0.009161, 2787.943838
405, 0.009184, 3681.556056
406, 0.009206, 4565.007775
407, 0.009229, 5434.748761
408, 0.009252, 6287.266058
409, 0.009274, 7119.098172
410, 0.009297, 7926.849109
411, 0.009320, 8707.202220
412, 0.009342, 9456.933801
413, 0.009365, 10172.926373
414, 0.009388, 10852.181610
415, 0.009410, 11491.832849
416, 0.009433, 12089.157129
417, 0.009456, 12641.586715
418, 0.009478, 13146.720060
419, 0.009501, 13602.332139
420, 0.009524, 14006.384149
421, 0.009546, 14357.032485
422, 0.009569, 14652.636999
423, 0.009592, 14891.768471
424, 0.009615, 15073.215278
425, 0.009637, 15195.989225
426, 0.009660, 15259.330506
427, 0.009683, 15262.711784
428, 0.009705, 15205.841351
429, 0.009728, 15088.665373
430, 0.009751, 14911.369189
431, 0.009773, 14674.377662
432, 0.009796, 14378.354575
433, 0.009819, 14024.201080
434, 0.009841, 13613.053177
435, 0.009864, 13146.278259
436, 0.009887, 12625.470713
437, 0.009909, 12052.446592
438, 0.009932, 11429.237386
439, 0.009955, 10758.082906
440, 0.009977, 10041.423297
441, 0.010000, 9281.890226
442, 0.010023, 8482.297265
443, 0.010045, 7645.629502
444, 0.010068, 6775.032429
445, 0.010091, 5873.800141
446, 0.010113, 4945.362883
447, 0.010136, 3993.274010
448, 0.010159, 3021.196395
449, 0.010181, 2032.888342
450, 0.010204, 1032.189057
451, 0.010227, 23.003735
452, 0.010249, -990.711682
453, 0.010272, -2004.966012
454, 0.010295, -3015.748547
455, 0.010317, -4019.044918
456, 0.010340, -5010.853036
457, 0.010363, -5987.199052
458, 0.010385, -6944.153276
